# AI Prompt Ratings (1-10 Scale)
# Format: filename | score | breakdown

suggests_ageappropriate_wellness_practices_25fl_4400.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
helps_adapt_messages_for_25fl_2565.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
evaluates_organizational_readiness_suggests_25fl_3946.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
helps_clean_datasets_suggests_25fl_4091.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
that_creates_ageappropriate_activities_25fl_2937.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
creates_personalized_learning_plans_25fl_1554.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
evaluates_source_credibility_suggests_25fl_2378.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
that_provides_gradual_exposure_25fl_1812.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
suggests_character_interpretation_approaches_25fl_9131.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
calculates_future_needs_suggests_25fl_4156.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
identifies_behavior_patterns_suggests_25fl_1451.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
explains_ai_concepts_suggests_25fl_4539.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
suggests_reading_activities_provides_25fl_3899.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
that_creates_action_timelines_25fl_0585.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
teaches_various_digital_art_25fl_6789.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
helps_optimize_query_performance_25fl_5405.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
teaches_comedic_principles_suggests_25fl_8206.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
creates_personalized_practice_exercises_25fl_8879.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
analyzes_logistics_data_identifies_25fl_5568.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
explains_governmental_processes_suggests_25fl_8668.txt | 10/10 | C:2 Comp:2 S:2 Safe:1 A:1 P:2
